#OTU	Sp11	Sp12	Sp13	Sp21	Sp22	Sp23	Su11	Su12	Su13	Su21	Su22	Su23	Au11	Au12	Au13	Au21	Au22	Au23	Wi11	Wi12	Wi13	Wi21	Wi22	Wi23
Otu2160	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Otu2161	1	2	3	2	0	6	2	2	5	0	0	4	1	2	3	0	0	0	0	0	4	2	6	6
Otu2163	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	0
Otu2164	2	2	0	2	1	0	2	0	0	0	2	0	1	0	0	0	0	5	0	0	0	0	0	0
Otu2165	3	49	30	3	3	17	3	18	3	0	7	4	2	24	33	1	7	42	11	27	53	25	3	34
Otu2166	2	3	1	2	1	0	6	5	0	0	0	0	6	1	2	0	0	2	3	17	2	0	0	2
Otu2167	4	10	10	2	3	6	3	26	12	2	2	4	1	10	13	7	5	5	0	0	14	0	6	17
Otu2168	6	6	1	2	3	10	2	0	19	7	5	7	2	2	3	7	9	3	0	12	4	0	8	4
Otu2169	18	14	16	4	7	8	7	14	10	9	0	9	19	11	8	4	5	2	14	7	17	19	6	6
Otu217	42	17	5	35	29	8	30	104	2	5	19	2	46	15	4	14	0	4	14	10	6	0	5	4
